"","varHist","varHistPonde"
"302",NA,NA
"305",NA,NA
"306",NA,NA
"308",NA,NA
"309",NA,NA
"312",NA,NA
"313",NA,NA
"314",NA,NA
"315",NA,NA
"316",NA,NA
"319",NA,NA
"320",NA,NA
"321",NA,NA
"322",NA,NA
"323",NA,NA
"327",NA,NA
"328",NA,NA
"329",NA,NA
"330",NA,NA
"333",NA,NA
"334",NA,NA
"335",NA,NA
"336",NA,NA
"337",NA,NA
"340",NA,NA
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",NA,NA
"348",NA,NA
"349",NA,NA
"350",NA,NA
"351",NA,NA
"354",NA,NA
"355",NA,NA
"356",NA,NA
"357",NA,NA
"358",NA,NA
"361",NA,NA
"362",NA,NA
"363",NA,NA
"364",NA,NA
"365",1.27290545737876,1.48140536469117
"368",1.24274748277102,1.48140536469117
"369",1.24274748277102,1.48140536469117
"370",1.24274748277102,1.48140536469117
"371",1.23448794203145,1.39586444357078
"372",1.24274748277102,1.39760675356088
"375",1.24274748277102,1.39760675356088
"376",1.24274748277102,1.39760675356088
"377",1.24274748277102,1.39760675356088
"378",1.24274748277102,1.39760675356088
"379",1.24274748277102,1.39760675356088
"382",1.24274748277102,1.39760675356088
"383",1.24274748277102,1.39760675356088
"384",1.24274748277102,1.39760675356088
"385",1.24274748277102,1.39760675356088
"386",1.24274748277102,1.39760675356088
"389",1.24274748277102,1.39760675356088
"390",1.24274748277102,1.39760675356088
"391",1.24274748277102,1.39760675356088
"392",1.27290545737876,1.39760675356088
"393",1.27290545737876,1.39586444357078
"396",1.27290545737876,1.39586444357078
"397",1.27290545737876,1.39586444357078
"398",1.27290545737876,1.39586444357078
"399",1.27290545737876,1.39586444357078
"400",1.27290545737876,1.39586444357078
"404",1.27290545737876,1.39586444357078
"405",1.27290545737876,1.38579528352151
"406",1.27290545737876,1.38579528352151
"407",1.27290545737876,1.38579528352151
"410",1.27290545737876,1.38579528352151
"411",1.27290545737876,1.38579528352151
"412",1.27290545737876,1.38579528352151
"413",1.27290545737876,1.38579528352151
"414",1.27290545737876,1.38579528352151
"417",1.27290545737876,1.38579528352151
"418",1.27290545737876,1.38579528352151
"419",1.27290545737876,1.38579528352151
"420",1.27290545737876,1.38579528352151
"421",1.27290545737876,1.38579528352151
"424",1.27290545737876,1.31830624899417
"425",1.27290545737876,1.31830624899417
"426",1.27290545737876,1.24440670178588
"427",1.27290545737876,1.24440670178588
"428",1.27290545737876,1.22049218621835
"431",1.27290545737876,1.1308378028279
"432",1.27290545737876,1.1308378028279
"433",1.27290545737876,1.1308378028279
"434",1.27290545737876,1.1308378028279
"435",1.27290545737876,1.1308378028279
"438",1.27290545737876,1.1308378028279
"439",1.27290545737876,1.05616439536092
"440",1.27290545737876,1.05616439536092
"441",1.27290545737876,1.05616439536092
"442",1.27290545737876,1.05616439536092
"446",1.27290545737876,1.05616439536092
"447",1.27290545737876,1.05616439536092
"448",1.27290545737876,1.05616439536092
"449",1.27290545737876,1.05616439536092
"452",1.27290545737876,1.04539952173407
"453",1.27290545737876,1.04539952173407
"454",1.27290545737876,1.04539952173407
"455",1.27290545737876,1.04539952173407
"456",1.27290545737876,1.04539952173407
"459",1.27290545737876,1.04539952173407
"460",1.27290545737876,1.04539952173407
"461",1.27290545737876,1.04539952173407
"462",1.27290545737876,1.04539952173407
"463",1.27290545737876,1.04539952173407
"466",1.27290545737876,0.974649055777473
"467",1.27290545737876,0.974649055777473
"468",1.30779570987788,1.31830624899417
"473",1.30779570987788,1.24440670178588
"474",1.30779570987788,1.1308378028279
"475",1.30779570987788,1.1308378028279
"476",1.30779570987788,1.10689198091242
"477",1.30779570987788,1.05616439536092
"480",1.30779570987788,1.05616439536092
"481",1.30779570987788,1.05616439536092
"482",1.30779570987788,1.05616439536092
"483",1.30779570987788,1.04539952173407
"484",1.30779570987788,1.04539952173407
"488",1.30779570987788,1.04539952173407
"489",1.30779570987788,1.04539952173407
"490",1.30779570987788,1.04539952173407
"491",1.30779570987788,1.04539952173407
"494",1.30779570987788,0.990718094616775
"495",1.30779570987788,0.990718094616775
"496",1.30779570987788,0.990718094616775
"497",1.30779570987788,0.990718094616775
"498",1.30779570987788,0.990718094616775
"501",1.30779570987788,0.990718094616775
"502",1.30779570987788,0.990718094616775
"503",1.31256473721936,1.3837000482832
"504",1.31256473721936,1.3837000482832
"505",1.31256473721936,1.3837000482832
"508",1.31256473721936,1.3837000482832
"509",1.31256473721936,1.24440670178588
"510",1.31256473721936,1.1308378028279
"511",1.31256473721936,1.05616439536092
"512",1.31256473721936,1.05616439536092
"515",1.31256473721936,1.04539952173407
"516",1.31256473721936,1.04539952173407
"517",1.31256473721936,1.04539952173407
"518",1.31256473721936,0.998331978256844
"519",1.31256473721936,0.998331978256844
"522",1.31256473721936,0.998331978256844
"523",1.31256473721936,0.998331978256844
"524",1.31256473721936,0.998331978256844
"525",1.31256473721936,0.998331978256844
"526",1.31249331042091,0.998331978256844
"529",1.31249331042091,0.998331978256844
"530",1.31249331042091,0.998331978256844
"531",1.31249331042091,0.998331978256844
"532",1.31249331042091,0.998331978256844
"533",1.31249331042091,0.998331978256844
"536",1.31249331042091,0.998331978256844
"537",1.31249331042091,0.998331978256844
"538",1.31249331042091,0.998331978256844
"539",1.31249331042091,0.990718094616775
"540",1.31249331042091,0.990718094616775
"543",1.27290545737876,0.990718094616775
"544",1.23125371822374,0.990718094616775
"545",1.23125371822374,0.990718094616775
"546",1.23125371822374,0.990718094616775
"547",1.23125371822374,0.974649055777473
"550",1.23125371822374,0.974649055777473
"551",1.23125371822374,0.961792633688037
"552",1.23125371822374,0.884526464906201
"553",1.23125371822374,0.877123510965241
"554",1.23125371822374,0.877123510965241
"557",1.23125371822374,0.877123510965241
"558",1.23125371822374,0.877123510965241
"559",1.23125371822374,0.877123510965241
"560",1.23125371822374,0.877123510965241
"561",1.23125371822374,0.804359246683322
"564",1.23125371822374,0.804359246683322
"565",1.23125371822374,0.804359246683322
"566",1.23125371822374,0.804359246683322
"567",1.23125371822374,0.804359246683322
"568",1.23125371822374,0.756740379003503
"571",1.23125371822374,0.756740379003503
"572",1.23125371822374,0.756740379003503
"573",1.23125371822374,0.756740379003503
"574",1.23125371822374,0.756740379003503
"575",1.23125371822374,0.756740379003503
"578",1.23125371822374,0.756740379003503
"579",1.23125371822374,0.666749377079127
"580",1.23125371822374,0.666749377079127
"581",1.23125371822374,0.666749377079127
"582",1.23125371822374,0.666749377079127
"585",1.23125371822374,0.666749377079127
"586",1.23125371822374,0.666749377079127
"587",1.23125371822374,0.666749377079127
"588",1.23125371822374,0.666749377079127
"589",1.23125371822374,0.666749377079127
"592",1.23125371822374,0.666749377079127
"593",1.23125371822374,0.666749377079127
"594",1.23125371822374,0.666749377079127
"595",1.23125371822374,0.666749377079127
"596",1.23125371822374,0.666749377079127
"599",1.23125371822374,0.666749377079127
"600",1.23125371822374,0.660626523427597
"601",1.1711822753536,0.647439016282629
"602",1.1711822753536,0.647439016282629
"603",1.1711822753536,0.647439016282629
"606",1.1711822753536,0.647439016282629
"607",1.1711822753536,0.647439016282629
"608",1.1711822753536,0.647439016282629
"609",1.1711822753536,0.647439016282629
"610",1.1711822753536,0.647439016282629
"613",1.1711822753536,0.647439016282629
"614",1.1711822753536,0.756740379003503
"615",1.1711822753536,0.756740379003503
"616",1.1711822753536,0.696838618124701
"617",1.1711822753536,0.666749377079127
"620",1.11766760077439,0.666749377079127
"621",1.11766760077439,0.666749377079127
"622",1.0789918088591,0.666749377079127
"623",1.0789918088591,0.666749377079127
"624",1.0789918088591,0.666749377079127
"627",1.0789918088591,0.666749377079127
"628",1.0789918088591,0.647439016282629
"629",1.0789918088591,0.647439016282629
"630",1.0789918088591,0.647439016282629
"631",1.0789918088591,0.647439016282629
"634",1.05024371486615,0.647439016282629
"635",1.05024371486615,0.647439016282629
"636",1.05024371486615,0.647439016282629
"637",1.05024371486615,0.647439016282629
"638",1.05024371486615,0.628105521611031
"641",1.05024371486615,0.628105521611031
"642",1.05024371486615,0.628105521611031
"643",1.05024371486615,0.628105521611031
"644",1.05024371486615,0.628105521611031
"645",1.05024371486615,0.628105521611031
"648",1.05024371486615,0.628105521611031
"649",1.05024371486615,0.628105521611031
"650",1.05024371486615,0.628105521611031
"651",1.05024371486615,0.628105521611031
"652",1.05024371486615,0.628105521611031
"655",1.05024371486615,0.615438102831154
"656",1.05024371486615,0.568442528583786
"657",1.05024371486615,0.568442528583786
"658",1.05024371486615,0.528916512122801
"659",1.05024371486615,0.528916512122801
"662",1.05024371486615,0.666749377079127
"663",1.05024371486615,0.666749377079127
"664",1.08976742872106,0.885265952456192
"665",1.08976742872106,0.885265952456192
"666",1.08976742872106,0.885265952456192
"669",1.08976742872106,0.885265952456192
"670",1.05024371486615,0.885265952456192
"671",1.04082370258485,0.885265952456192
"673",1.04082370258485,0.885265952456192
"676",1.04082370258485,0.885265952456192
"677",1.04082370258485,0.885265952456192
"678",1.01576852079042,0.885265952456192
"679",0.994144342254806,0.885265952456192
"680",1.01576852079042,1.41659838424981
"683",1.01576852079042,1.41659838424981
"684",1.01576852079042,1.03707985055367
"685",1.01576852079042,1.03707985055367
"686",1.01576852079042,1.03707985055367
"687",0.994144342254806,1.03707985055367
"691",0.994144342254806,1.03707985055367
"692",0.994144342254806,0.885265952456192
"693",0.994144342254806,0.885265952456192
"694",0.994144342254806,0.885265952456192
"697",1.01576852079042,1.40010604966445
"698",1.01576852079042,1.40010604966445
"699",1.01576852079042,1.40010604966445
"700",1.04082370258485,1.40010604966445
"701",1.04082370258485,1.40010604966445
"704",1.04082370258485,1.40010604966445
"705",1.04082370258485,1.40010604966445
"706",1.04082370258485,1.40010604966445
"707",1.04082370258485,1.40010604966445
"708",1.04082370258485,1.40010604966445
"711",1.04082370258485,1.40010604966445
"713",1.03685335716752,1.12016770018431
"714",1.03685335716752,1.12016770018431
"715",1.01558320801993,1.12016770018431
"718",1.01558320801993,1.12016770018431
"719",1.01558320801993,1.12016770018431
"720",1.01558320801993,1.12016770018431
"721",1.01558320801993,1.12016770018431
"722",1.01558320801993,1.12016770018431
"726",1.01558320801993,1.12016770018431
"727",1.01558320801993,1.12016770018431
"728",1.01558320801993,1.12016770018431
"729",1.01558320801993,1.12016770018431
"733",1.01558320801993,1.12016770018431
"734",1.01558320801993,1.03707985055367
"735",1.01558320801993,1.03707985055367
"736",1.01558320801993,1.03666804439704
"739",1.01558320801993,1.03666804439704
"740",0.994144342254806,1.03666804439704
"741",0.994144342254806,1.40010604966445
"742",0.994144342254806,1.40010604966445
"743",0.994144342254806,1.40010604966445
"746",0.994144342254806,1.40010604966445
"747",0.994144342254806,1.40010604966445
"748",0.994144342254806,1.40010604966445
"749",0.994144342254806,1.12016770018431
"750",0.994144342254806,1.12016770018431
"753",0.994144342254806,1.12016770018431
"754",0.994144342254806,1.12016770018431
"755",0.994144342254806,1.12016770018431
"756",0.994144342254806,1.12016770018431
"757",0.994144342254806,1.04539952173407
"760",0.981880123255159,1.03666804439704
"761",0.981880123255159,1.03666804439704
"762",0.981880123255159,1.03666804439704
"763",0.981880123255159,1.03666804439704
"764",0.981880123255159,1.03666804439704
"768",0.994144342254806,1.86044850422544
"769",0.994144342254806,1.41659838424981
"770",0.994144342254806,2.18843531197643
"771",0.994144342254806,2.18843531197643
"774",0.994144342254806,2.18843531197643
"775",0.994144342254806,2.18843531197643
"776",0.994144342254806,2.18843531197643
"777",0.994144342254806,2.18843531197643
"778",0.994144342254806,2.18843531197643
"781",0.994144342254806,1.86044850422544
"782",0.994144342254806,1.86044850422544
"783",0.994144342254806,1.86044850422544
"784",0.994144342254806,1.86044850422544
"785",0.994144342254806,1.86044850422544
"788",0.994144342254806,1.86044850422544
"789",1.00943850092146,1.86044850422544
"790",1.02915784683224,1.86044850422544
"791",1.00943850092146,1.41659838424981
"792",1.00943850092146,1.41659838424981
"795",1.00943850092146,1.40010604966445
"796",1.00943850092146,1.40010604966445
"797",1.00943850092146,1.40010604966445
"798",1.00943850092146,1.12016770018431
"799",1.00943850092146,1.12016770018431
"802",1.00943850092146,1.11574481787527
"803",1.00943850092146,1.11574481787527
"804",1.00943850092146,1.11574481787527
"805",1.00943850092146,1.11574481787527
"806",1.00943850092146,1.11574481787527
"810",1.00943850092146,1.11574481787527
"811",1.00943850092146,1.11574481787527
"812",1.00943850092146,1.11574481787527
"813",1.02915784683224,1.80051152229832
"816",1.02915784683224,1.80051152229832
"817",1.02915784683224,1.80051152229832
"818",1.03685335716752,1.80051152229832
"823",1.03685335716752,1.80051152229832
"824",1.03685335716752,1.80051152229832
"825",1.03685335716752,1.80051152229832
"826",1.03685335716752,1.43941637035721
"827",1.03685335716752,1.43941637035721
"830",1.03685335716752,1.43941637035721
"831",1.03685335716752,1.43941637035721
"832",1.03685335716752,1.43941637035721
"833",1.03685335716752,1.43941637035721
"834",1.03685335716752,1.43941637035721
"837",1.03685335716752,1.43941637035721
"838",1.02915784683224,1.43941637035721
"839",1.02915784683224,1.43941637035721
"840",1.02915784683224,1.43941637035721
"841",1.02915784683224,1.43941637035721
"844",1.02915784683224,1.43941637035721
"845",1.02915784683224,1.43941637035721
"846",1.02915784683224,1.41659838424981
"847",1.02915784683224,1.40010604966445
"848",1.02915784683224,1.12016770018431
"851",1.02915784683224,1.11574481787527
"853",1.03685335716752,1.14005727338198
"854",1.07247908584839,1.50860395099027
"855",1.07247908584839,1.50860395099027
"858",1.11109541513471,1.50860395099027
"859",1.11109541513471,1.50860395099027
"860",1.11109541513471,1.50860395099027
"861",1.11109541513471,1.43941637035721
"862",1.11109541513471,1.43941637035721
"865",1.11109541513471,1.43941637035721
"866",1.11109541513471,1.43941637035721
"867",1.11109541513471,1.43941637035721
"868",1.11773511491434,1.43941637035721
"869",1.11109541513471,1.43941637035721
"872",1.11109541513471,1.43941637035721
"873",1.11109541513471,1.40010604966445
"874",1.11109541513471,1.37055819976271
"875",1.11109541513471,1.37055819976271
"876",1.11109541513471,1.37055819976271
"879",1.11109541513471,1.37055819976271
"880",1.11109541513471,1.37055819976271
"881",1.11109541513471,1.37055819976271
"882",1.11109541513471,1.37055819976271
"883",1.11109541513471,1.37055819976271
"886",1.11109541513471,1.37055819976271
"887",1.11109541513471,1.37055819976271
"888",1.11109541513471,1.37055819976271
"889",1.11109541513471,1.37055819976271
"890",1.11109541513471,1.37055819976271
"893",1.11109541513471,1.37055819976271
"894",1.11109541513471,1.14005727338198
"895",1.11109541513471,1.14005727338198
"896",1.11109541513471,1.14005727338198
"897",1.11109541513471,1.14005727338198
"900",1.11109541513471,1.14005727338198
"901",1.11109541513471,1.14005727338198
"902",1.11109541513471,1.14005727338198
"903",1.11109541513471,1.12016770018431
"904",1.11109541513471,1.11574481787527
"907",1.11109541513471,1.11574481787527
"908",1.11109541513471,1.10729135834698
"909",1.11109541513471,1.10729135834698
"910",1.11109541513471,1.10729135834698
"911",1.11109541513471,1.10729135834698
"914",1.11773511491434,1.43941637035721
"915",1.11773511491434,1.37055819976271
"916",1.11773511491434,1.37055819976271
"917",1.11773511491434,1.37055819976271
"918",1.11773511491434,1.37055819976271
"921",1.11773511491434,1.37055819976271
"922",1.11773511491434,1.37055819976271
"923",1.11773511491434,1.37055819976271
"924",1.11773511491434,1.14005727338198
"925",1.11773511491434,1.14005727338198
"928",1.11773511491434,1.14005727338198
"929",1.11773511491434,1.14005727338198
"930",1.11773511491434,1.11574481787527
"931",1.11773511491434,1.10729135834698
"932",1.11773511491434,1.10729135834698
"935",1.11773511491434,1.10729135834698
"936",1.11773511491434,1.10729135834698
"937",1.11773511491434,1.02301313973376
"938",1.11773511491434,0.914019897180618
"939",1.11773511491434,0.914019897180618
"942",1.11773511491434,0.914019897180618
"943",1.11773511491434,0.848344911104261
"944",1.11773511491434,0.843982122834188
"945",1.11773511491434,0.828369354161386
"946",1.11773511491434,0.819621162326637
"949",1.11773511491434,0.819621162326637
"950",1.11773511491434,0.798741535060257
"951",1.11773511491434,0.798741535060257
"952",1.12911800812326,1.31165236317624
"953",1.2172750637894,1.43941637035721
"956",1.2172750637894,1.37055819976271
"957",1.2172750637894,1.37055819976271
"958",1.2172750637894,1.37055819976271
"959",1.2172750637894,1.31165236317624
"960",1.2172750637894,1.31165236317624
"963",1.2172750637894,1.31165236317624
"964",1.2172750637894,1.31165236317624
"965",1.2172750637894,1.31165236317624
"966",1.2172750637894,1.31165236317624
"967",1.2172750637894,1.31165236317624
"970",1.2172750637894,1.31165236317624
"971",1.2172750637894,1.31165236317624
"972",1.2172750637894,1.31165236317624
"973",1.2172750637894,1.31165236317624
"974",1.2172750637894,1.31165236317624
"977",1.2172750637894,1.31165236317624
"978",1.26598967988828,1.31165236317624
"979",1.26598967988828,1.22862930265268
"980",1.26598967988828,1.22862930265268
"981",1.26598967988828,1.22862930265268
"984",1.26598967988828,1.22862930265268
"985",1.26598967988828,1.22862930265268
"986",1.26598967988828,1.22862930265268
"987",1.26598967988828,1.22862930265268
"988",1.26598967988828,1.22862930265268
"991",1.26598967988828,1.22862930265268
"992",1.26598967988828,1.22862930265268
"993",1.26598967988828,1.22862930265268
"994",1.26598967988828,1.22862930265268
"995",1.26598967988828,1.22862930265268
"998",1.26598967988828,1.22862930265268
"999",1.26598967988828,1.22862930265268
"1000",1.26598967988828,1.14005727338198
"1001",1.26598967988828,1.10729135834698
"1002",1.26598967988828,1.104823162601
"1005",1.26598967988828,1.104823162601
"1006",1.26598967988828,1.104823162601
"1007",1.26598967988828,1.104823162601
"1008",1.26598967988828,1.104823162601
"1009",1.30710184613666,1.30337869583155
"1012",1.30710184613666,1.30337869583155
"1013",1.30710184613666,1.30337869583155
"1014",1.30710184613666,1.30337869583155
"1015",1.30710184613666,1.22862930265268
"1016",1.30710184613666,1.22862930265268
"1019",1.30710184613666,1.22862930265268
"1020",1.30710184613666,1.22862930265268
"1021",1.30710184613666,1.22862930265268
"1022",1.33815998964015,1.30337869583155
"1023",1.33815998964015,1.30337869583155
"1026",1.33815998964015,1.30337869583155
"1027",1.33815998964015,1.30337869583155
"1028",1.33815998964015,1.30337869583155
"1029",1.33815998964015,1.30337869583155
"1030",1.30710184613666,1.30337869583155
"1033",1.33815998964015,1.81960151393187
"1034",1.33815998964015,1.81960151393187
"1035",1.33815998964015,1.81960151393187
"1036",1.33815998964015,1.81960151393187
"1040",1.33815998964015,1.81960151393187
"1041",1.33815998964015,1.76349489238687
"1042",1.33815998964015,1.76349489238687
"1043",1.38385473221849,4.29179874905523
"1044",1.38385473221849,4.29179874905523
"1047",1.40752760022786,4.29179874905523
"1048",1.41779569397619,2.17820456106685
"1049",1.41779569397619,2.17820456106685
"1050",1.47055078164209,2.17820456106685
"1051",1.47055078164209,2.17820456106685
"1055",1.47055078164209,2.17820456106685
"1056",1.47055078164209,2.17820456106685
"1057",1.47055078164209,2.17820456106685
"1058",1.47055078164209,2.17820456106685
"1061",1.62330487461874,4.26284201802802
"1062",1.62330487461874,4.26284201802802
"1063",1.62330487461874,4.26284201802802
"1064",1.62330487461874,4.26284201802802
"1065",1.62330487461874,4.26284201802802
"1068",1.62330487461874,4.26284201802802
"1069",1.62330487461874,4.26284201802802
"1070",1.62330487461874,4.26284201802802
"1071",1.62330487461874,4.26284201802802
"1072",1.62330487461874,4.26284201802802
"1075",1.62330487461874,4.26284201802802
"1076",1.62330487461874,2.17820456106685
"1078",1.62330487461874,2.17820456106685
"1079",1.62330487461874,2.17820456106685
"1082",1.78015237584702,2.38009546983031
"1083",1.78015237584702,2.38009546983031
"1084",1.78015237584702,2.38009546983031
"1085",1.78015237584702,2.38009546983031
"1086",1.78015237584702,2.38009546983031
"1089",1.78015237584702,2.38009546983031
"1091",1.78015237584702,2.38009546983031
"1092",1.78015237584702,2.38009546983031
"1093",1.78015237584702,2.38009546983031
"1096",1.78015237584702,2.38009546983031
"1098",1.78015237584702,2.38009546983031
"1099",1.78015237584702,2.38009546983031
"1100",1.78015237584702,2.38009546983031
"1103",1.78015237584702,2.38009546983031
"1104",1.78015237584702,2.17820456106685
"1105",1.78015237584702,2.17820456106685
"1106",1.78015237584702,2.17820456106685
"1107",1.62330487461874,2.17820456106685
"1110",1.62330487461874,2.17820456106685
"1111",1.62330487461874,2.17820456106685
"1112",1.62330487461874,2.13219856582808
"1113",1.62330487461874,2.13219856582808
"1114",1.62330487461874,2.13219856582808
"1117",1.62330487461874,2.13219856582808
"1118",1.62330487461874,2.13219856582808
"1119",1.62330487461874,2.13219856582808
"1120",1.62330487461874,2.07324843397161
"1121",1.62330487461874,2.07324843397161
"1124",1.62330487461874,2.07324843397161
"1125",1.62330487461874,2.07324843397161
"1126",1.62330487461874,1.81960151393187
"1127",1.62330487461874,1.81960151393187
"1128",1.62330487461874,1.76349489238687
"1132",1.62330487461874,1.30337869583155
"1133",1.62330487461874,1.30337869583155
"1134",1.47055078164209,1.24091189828972
"1135",1.47055078164209,1.24091189828972
"1138",1.40154437653023,1.24091189828972
"1139",1.40154437653023,1.24091189828972
"1140",1.47055078164209,1.94327166498985
"1141",1.47055078164209,1.94327166498985
"1142",1.47055078164209,1.94327166498985
"1145",1.47055078164209,1.94327166498985
"1146",1.47055078164209,1.94327166498985
"1147",1.47055078164209,1.94327166498985
"1148",1.47055078164209,1.94327166498985
"1149",1.47055078164209,1.94327166498985
"1152",1.47055078164209,1.94327166498985
"1153",1.47055078164209,1.94327166498985
"1154",1.47055078164209,1.81960151393187
"1155",1.47055078164209,1.81960151393187
"1156",1.47055078164209,1.30337869583155
"1159",1.47055078164209,1.24091189828972
"1160",1.47055078164209,1.24091189828972
"1161",1.47055078164209,1.24091189828972
"1162",1.47055078164209,1.23542039390638
"1163",1.47055078164209,1.23542039390638
"1166",1.47055078164209,1.23542039390638
"1167",1.47055078164209,1.20792223340586
"1168",1.47055078164209,1.13167774934114
"1169",1.47055078164209,1.13167774934114
"1170",1.47055078164209,1.13167774934114
"1174",1.47055078164209,1.13167774934114
"1175",1.47055078164209,1.13167774934114
"1176",1.47055078164209,1.13167774934114
"1177",1.62330487461874,1.94327166498985
"1180",1.62330487461874,1.94327166498985
"1181",1.47055078164209,1.94327166498985
"1182",1.47055078164209,1.94327166498985
"1183",1.47055078164209,1.94327166498985
"1184",1.43267878781511,1.94327166498985
"1187",1.43267878781511,1.94327166498985
"1188",1.43267878781511,1.76349489238687
"1189",1.43267878781511,1.24091189828972
"1190",1.43267878781511,1.23542039390638
"1191",1.43267878781511,1.23542039390638
"1194",1.43267878781511,1.22862930265268
"1195",1.43267878781511,1.13167774934114
"1196",1.43267878781511,1.13167774934114
"1197",1.43267878781511,1.13167774934114
"1198",1.43267878781511,1.13167774934114
"1201",1.43267878781511,1.13167774934114
"1202",1.43267878781511,1.13167774934114
"1203",1.43267878781511,1.13167774934114
"1208",1.43267878781511,1.13167774934114
"1209",1.43267878781511,1.11409865056215
"1210",1.43267878781511,1.09989389752383
"1211",1.43267878781511,1.09150471999875
"1212",1.43267878781511,1.09150471999875
"1215",1.43267878781511,1.09150471999875
"1216",1.43267878781511,1.09150471999875
"1218",1.43267878781511,1.04999895918388
"1219",1.43267878781511,1.02322187593539
"1222",1.33815998964015,1.02322187593539
"1223",1.33815998964015,1.21576922161409
"1224",1.33815998964015,1.21576922161409
"1225",1.33815998964015,1.21576922161409
"1226",1.33815998964015,1.21576922161409
"1229",1.33815998964015,1.21576922161409
"1230",1.33815998964015,1.21576922161409
"1231",1.33815998964015,1.13167774934114
"1232",1.33815998964015,1.13167774934114
"1233",1.33815998964015,1.13167774934114
"1236",1.30710184613666,1.13167774934114
"1237",1.30710184613666,1.11409865056215
"1238",1.30710184613666,1.09150471999875
"1239",1.30710184613666,1.09150471999875
"1240",1.30710184613666,1.07039620109584
"1243",1.30710184613666,1.02322187593539
"1244",1.30710184613666,1.02322187593539
"1245",1.30710184613666,1.02322187593539
"1246",1.30710184613666,0.802670408919704
"1247",1.34514156237335,1.21576922161409
"1250",1.34514156237335,1.21576922161409
